dest_nt_domain,metadata_comment
crowdstrikeswag.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstriketest.lab.staging.usabi.li,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeupdate.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikewatch.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikewhisper.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeyou.xyz,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikezeroday.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikezerotrust.ws,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
iscrowdstrikedown.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
litemos.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
sandbox.crowdstrikes.ws,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
